"","X","Y","cluster","id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
"1",5.84004284128501,23.5795314650229,"1",7129300520,"10/13/2014",221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650
"2",-15.3794964993687,25.9931430434153,"1",6414100192,"12/9/2014",538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639
"3",0.224563025700588,7.40717367983799,"1",5631500400,"2/25/2015",180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062
"4",8.54118042428198,21.753004206737,"2",2487200875,"12/9/2014",604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000
"5",-2.31800065299372,2.0258184301369,"3",1954400510,"2/18/2015",510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503
"6",3.72842076455469,-25.6086261354939,"3",7237550310,"5/12/2014",1230000,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930
"7",-15.4399062833281,-12.088293192732,"3",1321400060,"6/27/2014",257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819
"8",0.271955428879495,22.5688235643719,"1",2008000270,"1/15/2015",291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711
"9",3.03072157780573,20.2958335351041,"1",2414600126,"4/15/2015",229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113
"10",-12.6052583352591,-15.5167972469416,"3",3793500160,"3/12/2015",323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570
"11",-6.98308052387388,1.03456087441619,"2",1736800520,"4/3/2015",662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925
"12",10.3767429053744,10.835532761167,"1",9212900260,"5/27/2014",468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000
"13",-4.75402645632387,9.96395404516246,"2",114101516,"5/28/2014",310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697
"14",-1.42088753798554,1.30617533538219,"2",6054650070,"10/7/2014",4e+05,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208
"15",14.4978674122273,4.4903333436206,"1",1175000570,"3/12/2015",530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850
"16",22.2132393967617,-3.01695026686413,"3",9297300055,"1/24/2015",650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000
"17",-0.124286826359458,-12.4070764555796,"3",1875500060,"7/31/2014",395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018
"18",11.4804192945011,8.19470422588508,"1",6865200140,"5/29/2014",485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300
"19",-20.2927985835376,6.21920195918584,"2",16000397,"12/5/2014",189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095
"20",-23.481583534739,3.55774905342187,"2",7983200060,"4/24/2015",230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850
"21",11.756308548169,12.9320470650799,"1",6300500875,"5/14/2014",385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980
"22",-8.66850112044159,-4.76410211259643,"3",2524049179,"8/26/2014",2e+06,3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,4110,20336
"23",-14.2432546197256,-21.6186941535887,"3",7137970340,"7/3/2014",285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005
"24",-22.0454666301796,-2.21881858839525,"2",8091400200,"5/16/2014",252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386
"25",-11.4213404901651,-11.9728566704066,"3",3814700200,"11/20/2014",329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865
"26",-20.1728146570592,6.10169055748291,"2",1202000200,"11/3/2014",233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705
