"","X","Y","id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15","cluster","hclust"
"1",-16.4771780432093,-8.11766883227097,7129300520,"10/13/2014",221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,1,"1"
"2",21.1158274768547,-23.261359463578,6414100192,"12/9/2014",538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,1,"2"
"3",1.62291004772278,-8.78637632674695,5631500400,"2/25/2015",180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,1,"3"
"4",-9.58981204155124,-3.6417459664379,2487200875,"12/9/2014",604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,2,"1"
"5",-2.16062556146226,-3.75970097826728,1954400510,"2/18/2015",510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,3,"3"
"6",-7.39351256006042,22.9833590109374,7237550310,"5/12/2014",1230000,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,3,"4"
"7",15.0178126523796,10.7793023859948,1321400060,"6/27/2014",257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,3,"5"
"8",-13.509523347088,-4.550585438691,2008000270,"1/15/2015",291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,1,"1"
"9",-11.2190727050282,-6.24103612106341,2414600126,"4/15/2015",229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,1,"1"
"10",13.9774095888517,15.2034175808182,3793500160,"3/12/2015",323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,3,"5"
